STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-24,55,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-25,54,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-26,53,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-27,62,34
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-28,64,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-29,56,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-30,67,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-03-31,69,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-01,55,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-02,59,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-03,52,39
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-04,62,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-05,53,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-06,52,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-07,57,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-08,58,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-09,68,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-10,54,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-11,55,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-12,51,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-13,53,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-14,55,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-15,51,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-16,52,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-17,51,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-18,51,32
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-19,48,30
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-20,53,29
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-21,57,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-22,51,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-23,51,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-24,54,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-25,48,34
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-26,50,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-27,51,29
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-28,52,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-29,54,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-04-30,62,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-01,54,47
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-02,58,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-03,58,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-04,53,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-05,53,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-06,62,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-07,60,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-08,58,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-09,54,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-10,54,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-11,72,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-12,67,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-13,64,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-14,68,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-15,69,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-16,76,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-17,80,59
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-18,70,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-19,61,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-20,62,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-21,67,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-22,74,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-23,65,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-24,69,47
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-25,70,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-26,76,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-27,86,61
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-28,72,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-29,76,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-30,66,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-05-31,69,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-01,72,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-02,77,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-03,73,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-04,67,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-05,69,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-06,64,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-07,62,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-08,71,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-09,64,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-10,74,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-11,80,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-12,66,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-13,68,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-14,74,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-15,79,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-16,65,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-17,72,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-18,78,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-19,84,58
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-20,74,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-21,78,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-22,79,62
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-23,68,59
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-24,67,61
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-25,65,58
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-26,68,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-27,71,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-28,73,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-29,67,58
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-06-30,68,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-01,69,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-02,66,50
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-03,69,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-04,70,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-05,75,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-06,78,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-07,76,61
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-08,71,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-09,71,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-10,78,58
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-11,70,58
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-12,65,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-13,67,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-14,66,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-15,68,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-16,69,57
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-17,73,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-18,74,52
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-19,85,63
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-07-20,73,54
